id,author_id,author_name,author_handler,author_avatar,lang,type,text,date,mention_ids,mention_names,retweets,favorites,links,links_first,image_links,image_links_first,rp_user_id,rp_user_name,location,tweet_link,search
1180339220713545729,195028463,Salvador Zaragoza A.,SalvadorZA,https://pbs.twimg.com/profile_images/1236148592794112001/nlgA-Qal_bigger.jpg,es,original,Una maravilla #JokerMovie kermovie (@jokermovie)pic.twitter.com/LTBaZxPseZ,2019-10-05T04:29:34.000Z,"[""1038128227485532160""]","[""jokermovie""]",9,38,"[""https://t.co/LTBaZxPseZ""]",https://t.co/LTBaZxPseZ,[],,,,,https://twitter.com/SalvadorZA/status/1180339220713545729,#jokermovie
1180339147237724160,71449823,Rilicito,Rili17,https://pbs.twimg.com/profile_images/1173485264846671872/2ogmZnuP_bigger.jpg,es,original,"Bueno fue una tarde noche redonda...

-Ir al cine a ver #JokerMovie. 
-Ir corriendo a la escuela para tomar 20 minutos de clases por qué se fue la luz.
-Salir a tomar un café
-Y platicar un rato con mi papá y que nos dijiera muchas cositas!!",2019-10-05T04:29:16.000Z,[],[],0,1,[],,[],,,,,https://twitter.com/Rili17/status/1180339147237724160,#jokermovie
1180339122940076037,714192572915195904,Rafael Bermúdez,raff_beltran,https://pbs.twimg.com/profile_images/1233908792083066882/bhAOdnDI_bigger.jpg,es,original,"#JokerMovie está pasadísima, a la altura de grandes producciones como #Chernobyl o #BreakingBad . Es una obra maestra. Joaquin Phoenix debe tener Óscar asegurado sí o sí.",2019-10-05T04:29:11.000Z,[],[],0,0,[],,[],,,,,https://twitter.com/raff_beltran/status/1180339122940076037,#jokermovie
1180338756651507712,480186835,Matu ⑫➹,MatiasGB19,https://pbs.twimg.com/profile_images/1198977818224480257/xMGoa9SY_bigger.jpg,es,original,Abran paso a Joaquín Phoenix que va directo a los Oscars por #Joker #JokerMovie. Actuación descomunal 👏🏻👏🏻👏🏻 tremenda película. pic.twitter.com/uxzfnpyYKT,2019-10-05T04:27:43.000Z,[],[],0,4,"[""https://t.co/uxzfnpyYKT""]",https://t.co/uxzfnpyYKT,[],,,,,https://twitter.com/MatiasGB19/status/1180338756651507712,#jokermovie
1180338750720753664,729818494645067776,Luis Eduardo  ⚽ 🇵🇦,luisedguaylupo,https://pbs.twimg.com/profile_images/1210365535982096384/Nj7_9w2n_bigger.jpg,es,original,"Un gran mensaje de inclusión, igualdad y tolerancia, dentro de la película del #JokerMovie buenísima",2019-10-05T04:27:42.000Z,[],[],0,0,[],,[],,,,,https://twitter.com/luisedguaylupo/status/1180338750720753664,#jokermovie
1180338527395090432,337358981,A𝖑𝖑𝖆𝖓 F𝖆𝖗𝖋𝖆𝖓 ,Wagner_Farfan_,https://pbs.twimg.com/profile_images/1223753785283174400/k1zdeK0b_bigger.jpg,es,original,"La mejor película de @DCComics ! El mejor @jokermovie de esta era!  La vdd que vale la pena esta película en todos los sentidos, fotografía, guion , soundtrack pfff la ame #JokerMovie pic.twitter.com/RBggfF2cCB",2019-10-05T04:26:49.000Z,"[""18173624"",""1038128227485532160""]","[""DCComics"",""jokermovie""]",0,0,"[""https://t.co/RBggfF2cCB""]",https://t.co/RBggfF2cCB,[],,,,,https://twitter.com/Wagner_Farfan_/status/1180338527395090432,#jokermovie
1180338372356771840,1223505270,╬▓▒░JüKa░▒▓­╬,__Sacci,https://pbs.twimg.com/profile_images/623691849925005312/iMAdi8sH_bigger.jpg,es,original,"El #Joker en esta versión de #ToddPhillips se vuelve aun mas oscuro, lleno de Ira, A veces con luces de coherencia pero siempre ligado a ser el paria, el marginado q quiere encajar en un Mundo en el cual no es el suyo por eso y por mas #JokerMovie es una Obra de Arte MAGISTRAL! pic.twitter.com/b5rS6YXDIw",2019-10-05T04:26:12.000Z,[],[],1,2,"[""https://t.co/b5rS6YXDIw""]",https://t.co/b5rS6YXDIw,"[""https://pbs.twimg.com/media/EGFnbdHW4AAAyMd.jpg"",""https://pbs.twimg.com/media/EGFndQGXoAENeNz.jpg""]",https://pbs.twimg.com/media/EGFnbdHW4AAAyMd.jpg,,,,https://twitter.com/__Sacci/status/1180338372356771840,#jokermovie
1180338160032718848,3418079997,Lo Inquieto,loinquieto,https://pbs.twimg.com/profile_images/1108398978037661696/DALPnp0w_bigger.jpg,es,original,Martín después de ver #JokerMovie: vamos a ver #trainspotting para bajarle.,2019-10-05T04:25:21.000Z,[],[],1,2,[],,[],,,,,https://twitter.com/loinquieto/status/1180338160032718848,#jokermovie
1180338064985661441,3153718696,「B E R」,berjopaco,https://pbs.twimg.com/profile_images/1172461936832917505/RezzEeB__bigger.jpg,es,original,"Quiero ir a ver ""El Jajas""                              :( #JokerMovie",2019-10-05T04:24:58.000Z,[],[],0,1,[],,[],,,,,https://twitter.com/berjopaco/status/1180338064985661441,#jokermovie
1180338058346016768,792027116,Arion,arionfontoura,https://pbs.twimg.com/profile_images/1225142169012527105/tMb3fDcm_bigger.jpg,es,original,"Fui al cine a ver #JokerMovie :
-Joaquin Phoenix es el mejor Joker de la historia, entréguenle ya el Oscar.
-La película es una obra de arte.
-Está misma semana vuelvo al cine a verla otra vez. pic.twitter.com/D1EQQdW2R2",2019-10-05T04:24:57.000Z,[],[],327,1878,"[""https://t.co/D1EQQdW2R2""]",https://t.co/D1EQQdW2R2,"[""https://pbs.twimg.com/media/EGFnNF8XkAAO7py.jpg""]",https://pbs.twimg.com/media/EGFnNF8XkAAO7py.jpg,,,,https://twitter.com/arionfontoura/status/1180338058346016768,#jokermovie
